"Date","Open","High","Low","Close"
"Mon Jul 03 1995 00:00:00 GMT+0530 (India Standard Time)","938.50","1040.50","931.30","994.20"
"Tue Aug 01 1995 00:00:00 GMT+0530 (India Standard Time)","993.50","1007.50","967.40","971.70"
"Fri Sep 01 1995 00:00:00 GMT+0530 (India Standard Time)","971.30","1018.80","960.60","1011.90"
"Mon Oct 02 1995 00:00:00 GMT+0530 (India Standard Time)","1027.50","1044.30","985.70","988.20"
"Wed Nov 01 1995 00:00:00 GMT+0530 (India Standard Time)","1004.50","1004.50","822.50","862.10"
"Fri Dec 01 1995 00:00:00 GMT+0530 (India Standard Time)","867.90","927.60","854.40","908.50"
"Mon Jan 01 1996 00:00:00 GMT+0530 (India Standard Time)","913.10","913.10","813.10","848.40"
"Thu Feb 01 1996 00:00:00 GMT+0530 (India Standard Time)","848.20","1067.40","848.20","992.50"
"Fri Mar 01 1996 00:00:00 GMT+0530 (India Standard Time)","994.60","1010.50","945.00","985.30"
"Mon Apr 01 1996 00:00:00 GMT+0530 (India Standard Time)","988.30","1160.10","988.30","1114.30"
"Wed May 01 1996 00:00:00 GMT+0530 (India Standard Time)","1141.60","1141.60","1046.90","1089.90"
"Mon Jun 03 1996 00:00:00 GMT+0530 (India Standard Time)","1098.10","1203.10","1098.10","1122.00"
"Mon Jul 01 1996 00:00:00 GMT+0530 (India Standard Time)","1121.00","1127.00","999.00","1042.80"
"Thu Aug 01 1996 00:00:00 GMT+0530 (India Standard Time)","1047.40","1054.20","968.70","1029.00"
"Mon Sep 02 1996 00:00:00 GMT+0530 (India Standard Time)","1028.90","1046.50","932.20","943.90"
"Tue Oct 01 1996 00:00:00 GMT+0530 (India Standard Time)","944.50","956.40","850.50","909.20"
"Fri Nov 01 1996 00:00:00 GMT+0530 (India Standard Time)","910.30","915.30","822.10","830.30"
"Mon Dec 02 1996 00:00:00 GMT+0530 (India Standard Time)","830.40","922.10","775.40","899.10"
"Wed Jan 01 1997 00:00:00 GMT+0530 (India Standard Time)","905.20","1085.70","905.20","972.60"
"Mon Feb 03 1997 00:00:00 GMT+0530 (India Standard Time)","967.90","1106.50","944.20","1102.90"
"Mon Mar 03 1997 00:00:00 GMT+0530 (India Standard Time)","1102.40","1167.90","966.80","968.30"
"Tue Apr 01 1997 00:00:00 GMT+0530 (India Standard Time)","931.90","1088.40","931.50","1079.80"
"Thu May 01 1997 00:00:00 GMT+0530 (India Standard Time)","1074.70","1074.70","1018.10","1050.90"
"Mon Jun 02 1997 00:00:00 GMT+0530 (India Standard Time)","1053.00","1194.70","1051.00","1192.40"
"Tue Jul 01 1997 00:00:00 GMT+0530 (India Standard Time)","1201.30","1252.70","1153.70","1221.50"
"Fri Aug 01 1997 00:00:00 GMT+0530 (India Standard Time)","1224.40","1297.00","1098.90","1105.00"
"Mon Sep 01 1997 00:00:00 GMT+0530 (India Standard Time)","1105.40","1168.30","1079.50","1123.80"
"Wed Oct 01 1997 00:00:00 GMT+0530 (India Standard Time)","1123.40","1192.00","1028.20","1085.20"
"Mon Nov 03 1997 00:00:00 GMT+0530 (India Standard Time)","1085.70","1097.00","971.20","1023.90"
"Mon Dec 01 1997 00:00:00 GMT+0530 (India Standard Time)","1023.80","1083.30","943.00","1079.40"
"Thu Jan 01 1998 00:00:00 GMT+0530 (India Standard Time)","1078.90","1102.10","929.00","963.40"
"Mon Feb 02 1998 00:00:00 GMT+0530 (India Standard Time)","963.40","1064.10","949.60","1060.70"
"Mon Mar 02 1998 00:00:00 GMT+0530 (India Standard Time)","1060.90","1156.70","1046.70","1116.90"
"Wed Apr 01 1998 00:00:00 GMT+0530 (India Standard Time)","1117.10","1247.10","1117.10","1159.30"
"Fri May 01 1998 00:00:00 GMT+0530 (India Standard Time)","1159.80","1196.70","1037.90","1063.10"
"Mon Jun 01 1998 00:00:00 GMT+0530 (India Standard Time)","1064.00","1100.00","853.00","941.60"
"Wed Jul 01 1998 00:00:00 GMT+0530 (India Standard Time)","941.60","1015.50","895.80","931.40"
"Mon Aug 03 1998 00:00:00 GMT+0530 (India Standard Time)","930.80","930.80","830.10","852.80"
"Tue Sep 01 1998 00:00:00 GMT+0530 (India Standard Time)","852.70","945.20","832.00","904.90"
"Thu Oct 01 1998 00:00:00 GMT+0530 (India Standard Time)","904.70","904.70","803.30","824.00"
"Mon Nov 02 1998 00:00:00 GMT+0530 (India Standard Time)","824.20","882.10","800.10","817.70"
"Tue Dec 01 1998 00:00:00 GMT+0530 (India Standard Time)","816.50","903.80","812.20","884.20"
"Fri Jan 01 1999 00:00:00 GMT+0530 (India Standard Time)","886.70","1016.30","882.60","966.20"
"Mon Feb 01 1999 00:00:00 GMT+0530 (India Standard Time)","962.40","989.10","907.40","981.30"
"Mon Mar 01 1999 00:00:00 GMT+0530 (India Standard Time)","992.40","1099.80","984.40","1078.00"
"Thu Apr 01 1999 00:00:00 GMT+0530 (India Standard Time)","1082.50","1084.00","916.00","978.20"
"Mon May 03 1999 00:00:00 GMT+0530 (India Standard Time)","979.80","1201.30","968.20","1132.30"
"Tue Jun 01 1999 00:00:00 GMT+0530 (India Standard Time)","1125.50","1228.50","1099.80","1187.70"
"Thu Jul 01 1999 00:00:00 GMT+0530 (India Standard Time)","1187.80","1367.90","1179.30","1310.10"
"Mon Aug 02 1999 00:00:00 GMT+0530 (India Standard Time)","1309.80","1435.50","1277.80","1412.00"
"Wed Sep 01 1999 00:00:00 GMT+0530 (India Standard Time)","1412.00","1432.50","1329.70","1413.10"
"Fri Oct 01 1999 00:00:00 GMT+0530 (India Standard Time)","1414.60","1522.80","1296.70","1325.40"
"Mon Nov 01 1999 00:00:00 GMT+0530 (India Standard Time)","1325.90","1418.10","1239.80","1376.10"
"Wed Dec 01 1999 00:00:00 GMT+0530 (India Standard Time)","1375.00","1510.80","1374.70","1480.40"
"Mon Jan 03 2000 00:00:00 GMT+0530 (India Standard Time)","1482.10","1671.10","1482.10","1546.20"
"Tue Feb 01 2000 00:00:00 GMT+0530 (India Standard Time)","1546.20","1818.10","1521.40","1654.80"
"Wed Mar 01 2000 00:00:00 GMT+0530 (India Standard Time)","1661.50","1773.80","1489.10","1528.40"
"Mon Apr 03 2000 00:00:00 GMT+0530 (India Standard Time)","1528.70","1636.90","1311.30","1406.50"
"Mon May 01 2000 00:00:00 GMT+0530 (India Standard Time)","1410.00","1436.60","1201.50","1380.40"
"Thu Jun 01 2000 00:00:00 GMT+0530 (India Standard Time)","1380.40","1539.10","1345.10","1471.40"
"Mon Jul 03 2000 00:00:00 GMT+0530 (India Standard Time)","1473.40","1564.70","1269.20","1332.80"
"Tue Aug 01 2000 00:00:00 GMT+0530 (India Standard Time)","1332.80","1398.90","1295.40","1394.10"
"Fri Sep 01 2000 00:00:00 GMT+0530 (India Standard Time)","1395.90","1482.00","1249.30","1271.60"
"Mon Oct 02 2000 00:00:00 GMT+0530 (India Standard Time)","1270.70","1306.40","1108.20","1172.70"
"Wed Nov 01 2000 00:00:00 GMT+0530 (India Standard Time)","1178.20","1281.00","1177.00","1268.10"
"Fri Dec 01 2000 00:00:00 GMT+0530 (India Standard Time)","1268.00","1369.50","1207.90","1263.50"
"Mon Jan 01 2001 00:00:00 GMT+0530 (India Standard Time)","1263.50","1396.00","1248.50","1371.70"
"Thu Feb 01 2001 00:00:00 GMT+0530 (India Standard Time)","1371.50","1422.90","1281.90","1351.40"
"Thu Mar 01 2001 00:00:00 GMT+0530 (India Standard Time)","1351.70","1399.50","1098.70","1148.20"
"Mon Apr 02 2001 00:00:00 GMT+0530 (India Standard Time)","1148.00","1171.80","1000.10","1125.20"
"Tue May 01 2001 00:00:00 GMT+0530 (India Standard Time)","1125.40","1207.00","1096.20","1167.90"
"Fri Jun 01 2001 00:00:00 GMT+0530 (India Standard Time)","1168.00","1175.80","1060.00","1107.90"
"Mon Jul 02 2001 00:00:00 GMT+0530 (India Standard Time)","1108.30","1127.10","1046.90","1072.80"
"Wed Aug 01 2001 00:00:00 GMT+0530 (India Standard Time)","1073.00","1084.00","1051.70","1053.70"
"Mon Sep 03 2001 00:00:00 GMT+0530 (India Standard Time)","1054.60","1059.90","849.90","913.80"
"Mon Oct 01 2001 00:00:00 GMT+0530 (India Standard Time)","914.60","1000.90","884.60","971.90"
"Thu Nov 01 2001 00:00:00 GMT+0530 (India Standard Time)","973.50","1097.50","973.50","1067.10"
"Mon Dec 03 2001 00:00:00 GMT+0530 (India Standard Time)","1067.20","1132.60","1010.40","1059.00"
"Tue Jan 01 2002 00:00:00 GMT+0530 (India Standard Time)","1058.80","1121.70","1052.00","1075.40"
"Fri Feb 01 2002 00:00:00 GMT+0530 (India Standard Time)","1076.90","1205.90","1069.40","1142.00"
"Fri Mar 01 2002 00:00:00 GMT+0530 (India Standard Time)","1142.00","1201.00","1117.80","1129.50"
"Mon Apr 01 2002 00:00:00 GMT+0530 (India Standard Time)","1129.80","1153.30","1073.30","1084.50"
"Wed May 01 2002 00:00:00 GMT+0530 (India Standard Time)","1084.80","1136.50","1020.10","1028.80"
"Mon Jun 03 2002 00:00:00 GMT+0530 (India Standard Time)","1029.20","1102.00","1029.20","1057.80"
"Mon Jul 01 2002 00:00:00 GMT+0530 (India Standard Time)","1058.00","1087.40","943.60","958.90"
"Thu Aug 01 2002 00:00:00 GMT+0530 (India Standard Time)","959.20","1012.70","935.50","1010.60"
"Mon Sep 02 2002 00:00:00 GMT+0530 (India Standard Time)","1010.90","1024.60","960.20","963.10"
"Tue Oct 01 2002 00:00:00 GMT+0530 (India Standard Time)","961.10","983.60","920.10","951.40"
"Fri Nov 01 2002 00:00:00 GMT+0530 (India Standard Time)","951.40","1057.40","946.40","1050.10"
"Mon Dec 02 2002 00:00:00 GMT+0530 (India Standard Time)","1050.10","1103.90","1034.00","1093.50"
"Wed Jan 01 2003 00:00:00 GMT+0530 (India Standard Time)","1093.50","1105.50","1026.20","1041.80"
"Mon Feb 03 2003 00:00:00 GMT+0530 (India Standard Time)","1040.20","1075.50","1034.00","1063.40"
"Mon Mar 03 2003 00:00:00 GMT+0530 (India Standard Time)","1063.50","1070.80","974.10","978.20"
"Tue Apr 01 2003 00:00:00 GMT+0530 (India Standard Time)","977.40","1033.40","920.00","934.00"
"Thu May 01 2003 00:00:00 GMT+0530 (India Standard Time)","930.90","1013.80","930.80","1006.80"
"Mon Jun 02 2003 00:00:00 GMT+0530 (India Standard Time)","1006.80","1141.30","1004.70","1134.10"
"Tue Jul 01 2003 00:00:00 GMT+0530 (India Standard Time)","1133.90","1198.50","1089.30","1185.80"
"Fri Aug 01 2003 00:00:00 GMT+0530 (India Standard Time)","1185.80","1365.80","1164.70","1356.50"
"Mon Sep 01 2003 00:00:00 GMT+0530 (India Standard Time)","1356.70","1430.70","1285.20","1417.10"
"Wed Oct 01 2003 00:00:00 GMT+0530 (India Standard Time)","1416.60","1574.10","1407.90","1555.90"
"Mon Nov 03 2003 00:00:00 GMT+0530 (India Standard Time)","1556.50","1630.20","1509.10","1615.20"
"Mon Dec 01 2003 00:00:00 GMT+0530 (India Standard Time)","1615.80","1914.40","1615.70","1879.70"
"Thu Jan 01 2004 00:00:00 GMT+0530 (India Standard Time)","1880.30","2014.60","1756.20","1809.70"
"Mon Feb 02 2004 00:00:00 GMT+0530 (India Standard Time)","1809.30","1935.80","1755.60","1800.30"
"Mon Mar 01 2004 00:00:00 GMT+0530 (India Standard Time)","1798.30","1898.70","1669.70","1771.90"
"Thu Apr 01 2004 00:00:00 GMT+0530 (India Standard Time)","1771.40","1912.30","1771.40","1796.10"
"Mon May 03 2004 00:00:00 GMT+0530 (India Standard Time)","1796.10","1837.90","1292.20","1483.60"
"Tue Jun 01 2004 00:00:00 GMT+0530 (India Standard Time)","1483.90","1566.50","1437.90","1505.60"
"Thu Jul 01 2004 00:00:00 GMT+0530 (India Standard Time)","1506.65","1638.70","1472.55","1632.30"
"Mon Aug 02 2004 00:00:00 GMT+0530 (India Standard Time)","1631.55","1658.90","1573.70","1631.75"
"Wed Sep 01 2004 00:00:00 GMT+0530 (India Standard Time)","1631.70","1760.80","1619.90","1745.50"
"Fri Oct 01 2004 00:00:00 GMT+0530 (India Standard Time)","1744.40","1829.45","1737.85","1786.90"
"Mon Nov 01 2004 00:00:00 GMT+0530 (India Standard Time)","1787.30","1963.80","1776.70","1958.80"
"Wed Dec 01 2004 00:00:00 GMT+0530 (India Standard Time)","1960.75","2088.44","1944.50","2080.50"
"Mon Jan 03 2005 00:00:00 GMT+0530 (India Standard Time)","2080.00","2120.15","1894.40","2057.60"
"Tue Feb 01 2005 00:00:00 GMT+0530 (India Standard Time)","2057.75","2110.15","2036.60","2103.25"
"Tue Mar 01 2005 00:00:00 GMT+0530 (India Standard Time)","2103.10","2183.44","1971.15","2035.65"
"Fri Apr 01 2005 00:00:00 GMT+0530 (India Standard Time)","2035.90","2084.90","1896.30","1902.50"
"Mon May 02 2005 00:00:00 GMT+0530 (India Standard Time)","1903.10","2099.35","1898.15","2087.50"
"Wed Jun 01 2005 00:00:00 GMT+0530 (India Standard Time)","2087.80","2226.15","2061.35","2220.60"
"Fri Jul 01 2005 00:00:00 GMT+0530 (India Standard Time)","2220.44","2332.55","2171.25","2312.30"
"Mon Aug 01 2005 00:00:00 GMT+0530 (India Standard Time)","2312.05","2426.65","2294.25","2384.60"
"Thu Sep 01 2005 00:00:00 GMT+0530 (India Standard Time)","2384.69","2633.90","2382.90","2601.40"
"Mon Oct 03 2005 00:00:00 GMT+0530 (India Standard Time)","2601.00","2669.20","2307.44","2370.90"
"Tue Nov 01 2005 00:00:00 GMT+0530 (India Standard Time)","2366.80","2727.05","2366.80","2652.20"
"Thu Dec 01 2005 00:00:00 GMT+0530 (India Standard Time)","2651.60","2857.00","2641.95","2836.50"
"Mon Jan 02 2006 00:00:00 GMT+0530 (India Standard Time)","2836.80","3005.10","2783.85","3001.10"
"Wed Feb 01 2006 00:00:00 GMT+0530 (India Standard Time)","3001.30","3090.30","2928.10","3074.70"
"Wed Mar 01 2006 00:00:00 GMT+0530 (India Standard Time)","3074.60","3433.85","3064.00","3402.55"
"Mon Apr 03 2006 00:00:00 GMT+0530 (India Standard Time)","3403.15","3598.95","3290.35","3557.60"
"Mon May 01 2006 00:00:00 GMT+0530 (India Standard Time)","3557.55","3774.15","2896.40","3071.05"
